18.36, 27.54, 18.36, 27.54, 18.36, 27.54
20.16, 30.24, 20.16, 30.24, 20.16, 30.24
17.76, 26.64, 17.76, 26.64, 17.76, 26.64
15.48, 23.22, 15.48, 23.22, 15.48, 23.22
14.52, 21.78, 14.52, 21.78, 14.52, 21.78
13.68, 20.52, 13.68, 20.52, 13.68, 20.52
13.32, 19.98, 13.32, 19.98, 13.32, 19.98
13.08, 19.62, 13.08, 19.62, 13.08, 19.62
12.84, 19.26, 12.84, 19.26, 12.84, 19.26
12.48, 18.72, 12.48, 18.72, 12.48, 18.72
12.12, 18.18, 12.12, 18.18, 12.12, 18.18
11.88, 17.82, 11.88, 17.82, 11.88, 17.82
11.28, 16.92, 11.28, 16.92, 11.28, 16.92
10.68, 16.02, 10.68, 16.02, 10.68, 16.02
9.12, 13.68, 9.12, 13.68, 9.12, 13.68
7.56, 11.34, 7.56, 11.34, 7.56, 11.34
5.72, 8.59, 5.72, 8.59, 5.72, 8.59
6.05, 9.07, 6.05, 9.07, 6.05, 9.07
6.37, 9.56, 6.37, 9.56, 6.37, 9.56
6.7, 10.04, 6.7, 10.04, 6.7, 10.04
7.13, 10.69, 7.13, 10.69, 7.13, 10.69
7.99, 11.99, 7.99, 11.99, 7.99, 11.99
11.45, 17.17, 11.45, 17.17, 11.45, 17.17
14.9, 22.36, 14.9, 22.36, 14.9, 22.36
